brand,description,color_material,price
Whirlpool, 24.7 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Stainless Steel,1979.99
Samsung, 27 cu. ft. Large Capacity 3-Door French Door Refrigerator with External Water & Ice Dispenser, Fingerprint Resistant Stainless Steel,1998.99
LG, 26 Cu. Ft. French InstaView Door-in-Door Refrigerator with Wifi and Dual Ice Maker, Stainless steel,2799.99
LG, 26.2 Cu. Ft. French Door Smart Wi-Fi Enabled Refrigerator with Dual Ice Maker, PrintProof Black Stainless Steel,2299.99
LG, 26.2 Cu. Ft. French Door Smart Wi-Fi Enabled Refrigerator with Dual Ice Maker, PrintProof Stainless Steel,2199.99
Whirlpool, 24.5 Cu. Ft. 4-Door French Door Refrigerator, Stainless steel,2249.99
Samsung," 30"" Wide, 22 cu. ft. French Door Fingerprint Resistant Refrigerator", Black stainless steel,1599.99
Samsung, 28 cu. ft. Large Capacity 3-Door French Door Refrigerator with Internal Water Dispenser, Black stainless steel,1699.99
LG, 27.9 French Door Smart Wi-Fi Enabled Refrigerator, Stainless steel,2399.99
Samsung, 28 cu. ft. Large Capacity 3-Door French Door Refrigerator with Internal Water Dispenser, Fingerprint Resistant Stainless Steel,1799.99
Samsung, 21.8 Cu. Ft. French-Door Refrigerator, Stainless steel,1499.99
Samsung, 17.5 cu. ft. 3-Door French Door Counter Depth Refrigerator with WiFi and Twin Cooling Plus®, Fingerprint Resistant Stainless Steel,1259.99
Samsung," 29 cu. ft. 4-Door Flex™ French Door Refrigerator with WiFi, AutoFill Water Pitcher & Dual Ice Maker", Fingerprint Resistant Stainless Steel,2879.99
Samsung, 27.8 cu. ft. 4-Door French Door Refrigerator with Food Showcase, Fingerprint Resistant Stainless Steel,3059.99
Samsung," 23 cu. ft. 4-Door Flex™ French Door Refrigerator with WiFi, AutoFill Water Pitcher & Dual Ice Maker", Fingerprint Resistant Black Stainless Steel,3059.99
LG, 27.9 French Door Smart Wi-Fi Enabled Refrigerator, Black stainless steel,2499.99
LG, 21.9 Cu. Ft. French InstaView Door-in-Door Counter-Depth Refrigerator, Stainless steel,2899.99
KitchenAid, 25.8 Cu. Ft. 5-Door French Door Refrigerator, Stainless steel,4099.99
LG, 22.7 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator with Double Freezer and Internal Water Dispenser, PrintProof Stainless Steel,2099.99
Samsung, 28 cu. ft. Large Capacity 3-Door French Door Refrigerator with Internal Water Dispenser, White,1709.99
KitchenAid, 26.8 Cu. Ft. French Door Refrigerator, White,3049.99
Bosch, 800 Series 20.5 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator, Stainless steel,3399.99
LG, 25.1 Cu. Ft. French Door Refrigerator with Ice Maker, PrintProof Stainless Steel,1799.99
KitchenAid, 20 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,2399.99
Samsung, 17.5 cu. ft. Counter Depth 3-Door French Door Refrigerator with WiFi and Twin Cooling Plus®, Fingerprint Resistant Black Stainless Steel,1349.99
Samsung, 29 cu. ft. Smart 4-Door Flex™ refrigerator with Family Hub™ and Beverage Center, Fingerprint Resistant Stainless Steel,3896.99
Samsung, 26.5 cu. ft. Large Capacity 3-Door French Door Refrigerator with Family Hub™ and External Water & Ice Dispenser, Stainless steel,2879.99
Whirlpool, 26.8 Cu. Ft. French Door Refrigerator, Fingerprint Resistant Stainless Steel,2749.99
Samsung, 25 cu. ft. Large Capacity 4-Door French Door Refrigerator with External Water & Ice Dispenser, Fingerprint Resistant Stainless Steel,2699.99
Samsung, 27 cu. ft. Large Capacity 3-Door French Door Refrigerator with External Water & Ice Dispenser, Fingerprint Resistant Black Stainless Steel,2159.99
KitchenAid, 27 Cu. Ft. French Door Refrigerator, Printshield Stainless,3049.99
LG, 22.8 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,1699.99
LG, 22.1 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,2299.99
LG, 23.5 Cu. Ft. French Door Counter-Depth Refrigerator with Craft Ice, PrintProof Stainless Steel,2899.99
GE, Profile Series 27.9 Cu. Ft. Smart Fingerprint Resistant 4-Door French-Door Refrigerator with Door In Door, Stainless steel,3419.99
LG, 29.7 Cu. Ft. French Door-in-Door Refrigerator with Craft Ice, PrintProof Stainless Steel,3099.99
LG, 22.5 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator with Door-in-Door and Craft Ice, PrintProof Stainless Steel,3399.99
LG, 26 Cu. Ft. French InstaView Door-in-Door Refrigerator with Wifi and Dual Ice Maker, PrintProof Black Stainless Steel,2899.99
LG, 23.5 Cu. Ft. French Door Counter-Depth Refrigerator with Craft Ice, PrintProof Black Stainless Steel,2899.99
LG, 21.8 Cu. Ft. French Door Refrigerator, Stainless steel,1799.99
Insignia™, 20.9 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,1499.99
Samsung, 28 cu. ft. 4-Door French Door Refrigerator with FlexZone™ Drawer, Fingerprint Resistant Stainless Steel,2699.99
Samsung, Family Hub 22.2 Cu. Ft. 4-Door French Door Counter-Depth Fingerprint Resistant Refrigerator, Black stainless steel,3599.99
Samsung, 22.4 cu. ft. 4-Door French Door Counter Depth Refrigerator with Food Showcase, Fingerprint Resistant Stainless Steel,3149.99
GE, 24.8 Cu. Ft. French Door Refrigerator, Stainless steel,1709.99
Samsung," 29 cu. ft. 4-Door Flex™ French Door Refrigerator with WiFi, Beverage Center and Dual Ice Maker", Fingerprint Resistant Stainless Steel,3149.99
Samsung, 28 cu. ft. Large Capacity 3-Door French Door Refrigerator with AutoFill Water Pitcher, Fingerprint Resistant Stainless Steel,1889.99
Samsung, 22.6 cu. ft. 4-Door French Door Counter Depth Refrigerator with FlexZone™ Drawer, Fingerprint Resistant Stainless Steel,2789.99
Samsung, 28 cu. ft. Large Capacity 3-Door French Door Refrigerator, Fingerprint Resistant Stainless Steel,1709.99
Samsung, Family Hub 27.7 Cu. Ft. 4-Door French Door Fingerprint Resistant Refrigerator, Black stainless steel,3509.99
